"e10","date","name"
1529,"2018-06-01 05:47:07+00","TOTAL GAGGENAU"
1519,"2018-06-01 05:47:07+00","GAGGENAU, WALDSTR"
1529,"2018-06-01 06:02:07+00","AVIA Gaggenau"
1509,"2018-06-01 06:07:07+00","TOTAL GAGGENAU"
1499,"2018-06-01 06:24:07+00","GAGGENAU, WALDSTR"
1509,"2018-06-01 06:26:07+00","AVIA Gaggenau"
1489,"2018-06-01 07:34:07+00","GAGGENAU, WALDSTR"
1499,"2018-06-01 07:47:07+00","TOTAL GAGGENAU"
1489,"2018-06-01 07:48:07+00","GAGGENAU, WALDSTR"
1489,"2018-06-01 07:57:07+00","TOTAL GAGGENAU"
1509,"2018-06-01 07:59:06+00","AVIA Gaggenau"
1499,"2018-06-01 08:02:07+00","AVIA Gaggenau"
1489,"2018-06-01 08:14:06+00","AVIA Gaggenau"
1479,"2018-06-01 08:15:09+00","GAGGENAU, WALDSTR"
1469,"2018-06-01 09:22:07+00","GAGGENAU, WALDSTR"
1529,"2018-06-01 10:00:07+00","GAGGENAU, WALDSTR"
1529,"2018-06-01 10:05:08+00","GAGGENAU, WALDSTR"
1539,"2018-06-01 10:17:07+00","TOTAL GAGGENAU"
1489,"2018-06-01 10:32:06+00","AVIA Gaggenau"
1539,"2018-06-01 10:35:09+00","AVIA Gaggenau"
1529,"2018-06-01 12:07:09+00","TOTAL GAGGENAU"
1519,"2018-06-01 12:24:21+00","GAGGENAU, WALDSTR"
1529,"2018-06-01 12:26:19+00","AVIA Gaggenau"
1489,"2018-06-01 13:02:07+00","TOTAL GAGGENAU"
1489,"2018-06-01 13:20:07+00","AVIA Gaggenau"
1479,"2018-06-01 13:22:06+00","GAGGENAU, WALDSTR"
1469,"2018-06-01 14:30:07+00","GAGGENAU, WALDSTR"
1469,"2018-06-01 14:57:06+00","TOTAL GAGGENAU"
1529,"2018-06-01 15:00:08+00","GAGGENAU, WALDSTR"
1529,"2018-06-01 15:05:07+00","GAGGENAU, WALDSTR"
1519,"2018-06-01 15:12:06+00","TOTAL GAGGENAU"
1469,"2018-06-01 15:14:06+00","AVIA Gaggenau"
1519,"2018-06-01 15:16:08+00","GAGGENAU, WALDSTR"
1519,"2018-06-01 15:35:06+00","AVIA Gaggenau"
1509,"2018-06-01 15:53:07+00","GAGGENAU, WALDSTR"
1519,"2018-06-01 16:52:06+00","TOTAL GAGGENAU"
1519,"2018-06-01 17:08:06+00","AVIA Gaggenau"
1499,"2018-06-01 17:10:07+00","GAGGENAU, WALDSTR"
1459,"2018-06-01 18:27:06+00","TOTAL GAGGENAU"
1499,"2018-06-01 18:36:06+00","GAGGENAU, WALDSTR"
1459,"2018-06-01 18:41:06+00","AVIA Gaggenau"
1449,"2018-06-01 18:45:06+00","GAGGENAU, WALDSTR"
1459,"2018-06-01 18:57:06+00","TOTAL GAGGENAU"
1459,"2018-06-01 19:14:06+00","AVIA Gaggenau"
1449,"2018-06-01 19:15:07+00","GAGGENAU, WALDSTR"
1509,"2018-06-01 19:57:06+00","TOTAL GAGGENAU"
